Title,Author,Year,Method/Framework,Development Methodology,Method/Framework Objective,Phrase_Method_and_Objective,Phrase_TCIM_applicability,Subcategory,Category,C1_LimitedEvidence,C2_ComplexHolistic,C3_CulturalEquityPatient,C4_DataFeasibility,C5_TCIMContextCompatibility,Final_Score_TCIM,TCIM_suitability_level,RND
Toward a Method for Exposing and Elucidating Ethical Issues with Human Cognitive Enhancement Technologies,"Hofmann, B.",2017,"The authors propose a method consisting of six steps and a guiding list of 43 questions, based on a modified version of the Socratic approach from health technology assessment, specifically adapted to expose and elucidate ethical issues in human cognitive enhancement (HCE) technologies.","The authors performed a literature search in PubMed to identify relevant approaches, followed by conventional qualitative content analysis of the identified papers and methods to assess their suitability based on four selection criteria. They selected a value-based approach as a starting point and modified it through group deliberation to target human cognitive enhancement (HCE) technologies. The developed method was then pilot tested on smart-glasses and subsequently amended based on the experience.",The objective of the method is to develop a systematic and comprehensive approach for exposing and elucidating ethical issues with human cognitive enhancement (HCE) technologies to support and facilitate open and transparent deliberation and decision making regarding these emerging technologies.,"This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a method consisting of six steps and a guiding list of 43 questions, based on a modified version of the Socratic approach from health technology assessment, specifically adapted to expose and elucidate ethical issues in human cognitive enhancement (HCE) technologies. Using the following development approach: The authors performed a literature search in PubMed to identify relevant approaches, followed by conventional qualitative content analysis of the identified papers and methods to assess their suitability based on four selection criteria. They selected a value-based approach as a starting point and modified it through group deliberation to target human cognitive enhancement (HCE) technologies. The developed method was then pilot tested on smart-glasses and subsequently amended based on the experience. to address the following objective: The objective of the method is to develop a systematic and comprehensive approach for exposing and elucidating ethical issues with human cognitive enhancement (HCE) technologies to support and facilitate open and transparent deliberation and decision making regarding these emerging technologies.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Unclassified,Unclassified,0,0,0,0,0,0,Not applicable,0.656545655
Analytical Methods for Comparing Uncontrolled Trials With External Controls From Real-World Data: A Systematic Literature Review and Comparison With European Regulatory and Health Technology Assessment Practice,"Hogervorst, M. A.",2025,"The authors propose a methodological approach similar to target trial emulation, involving a priori designed studies based on one interventional and one IPD-RWD arm, mimicking target randomized controlled trials to minimize bias.","The authors conducted a systematic literature review in PubMed and Connected Papers to identify analytical methods for comparing uncontrolled trials with external controls from individual patient data real-world data (IPD-RWD). They then compared these methods descriptively with those recommended in European regulatory and HTA guidelines and those encountered in assessment reports. Data extraction and narrative synthesis were performed based on the ISPE Good Pharmacoepidemiology Practices guideline. The study also included a qualitative comparison of methods described in literature, guidelines, and regulatory and HTA reports, culminating in formulated recommendations.",The objective is to provide an overview of analytical methods in scientific literature for comparing uncontrolled medicine trials with external controls from individual patient data real-world data (IPD-RWD) and to compare these methods with recommendations made in guidelines from European regulatory and health technology assessment (HTA) organizations and with their evaluations described in assessment reports.,"This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a methodological approach similar to target trial emulation, involving a priori designed studies based on one interventional and one IPD-RWD arm, mimicking target randomized controlled trials to minimize bias. Using the following development approach: The authors conducted a systematic literature review in PubMed and Connected Papers to identify analytical methods for comparing uncontrolled trials with external controls from individual patient data real-world data (IPD-RWD). They then compared these methods descriptively with those recommended in European regulatory and HTA guidelines and those encountered in assessment reports. Data extraction and narrative synthesis were performed based on the ISPE Good Pharmacoepidemiology Practices guideline. The study also included a qualitative comparison of methods described in literature, guidelines, and regulatory and HTA reports, culminating in formulated recommendations. to address the following objective: The objective is to provide an overview of analytical methods in scientific literature for comparing uncontrolled medicine trials with external controls from individual patient data real-world data (IPD-RWD) and to compare these methods with recommendations made in guidelines from European regulatory and health technology assessment (HTA) organizations and with their evaluations described in assessment reports.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",RWE integration & infrastructure,Evidence Integration & Generation,2,1,1,2,1,1.4,Moderate,0.512100098
Ethical and legal considerations in social media research for health technology assessment: conclusions from a scoping review,"Holtorf, A. P.",2023,"The authors conducted a scoping review of literature to identify ethical and legal considerations in social media research for health technology assessment (HTA). They synthesized findings into a framework comprising guiding principles along the research lifecycle (planning, data collection and analysis, reporting and follow-up), a detailed checklist for research justification, data, tools, methods, and legal/ethical standards, and a list of actions to avoid to minimize risks. This framework aims to guide researchers, ethics reviewers, and HTA practitioners to ensure ethical conduct and quality in social media research informing HTA or health policy decisions.","The authors conducted a scoping review of the literature in PubMed and Embase, screening 935 references published between January 2017 and June 2021. After title and abstract screening by three reviewers, 40 publications were included. Relevant information was extracted and data were collected in a mind map, which was then used to structure the output of the review. The themes were grouped and mapped using mapping software (MIRO), and the findings were consolidated into a framework and checklists for future guidance.",The objective is to identify and describe the published guidance and current academic discourse of ethical issues and standards related to the use of Social Media Research for generating patient insights for use by health technology assessment (HTA) or health policy decisions.,"This study developed a method or framework for health technology assessment, described by the authors as follows: The authors conducted a scoping review of literature to identify ethical and legal considerations in social media research for health technology assessment (HTA). They synthesized findings into a framework comprising guiding principles along the research lifecycle (planning, data collection and analysis, reporting and follow-up), a detailed checklist for research justification, data, tools, methods, and legal/ethical standards, and a list of actions to avoid to minimize risks. This framework aims to guide researchers, ethics reviewers, and HTA practitioners to ensure ethical conduct and quality in social media research informing HTA or health policy decisions. Using the following development approach: The authors conducted a scoping review of the literature in PubMed and Embase, screening 935 references published between January 2017 and June 2021. After title and abstract screening by three reviewers, 40 publications were included. Relevant information was extracted and data were collected in a mind map, which was then used to structure the output of the review. The themes were grouped and mapped using mapping software (MIRO), and the findings were consolidated into a framework and checklists for future guidance. to address the following objective: The objective is to identify and describe the published guidance and current academic discourse of ethical issues and standards related to the use of Social Media Research for generating patient insights for use by health technology assessment (HTA) or health policy decisions.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Evidence gap identification,Evidence Integration & Generation,2,2,2,2,2,2,High,0.706089554
Conducting Economic Evaluations Alongside Randomised Trials: Current Methodological Issues and Novel Approaches,"Hughes, D.",2016,"The authors propose a comprehensive review and discussion of current methodological issues and novel approaches in conducting economic evaluations alongside randomised controlled trials (RCTs). They focus on selective elements regarding the design, conduct, analysis, and reporting of trial-based economic evaluations, including methods for resource use estimation, choice of outcome measure, handling missing data, accounting for patient non-adherence, analysis of multinational trial data, calculating minimally important differences using discrete choice experiments, and methods for extrapolation of outcomes and costs over time. They emphasize embedding economists within trial management groups and using advanced statistical and modelling techniques such as multiple imputation for missing data, structural mean modelling for non-adherence, and multi-level modelling for multinational trials.","The authors conducted a purposive review of the literature focusing on selective elements regarding the design, conduct, analysis, and reporting of trial-based economic evaluations, introducing novel methodologies that may complement or supplant current approaches.","The objective proposed by the authors is to focus on specific aspects of trial-based economic evaluations where there is scope for improvement, and to introduce novel methodologies that may complement or supplant current approaches, thereby serving the evidential needs of decision makers.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a comprehensive review and discussion of current methodological issues and novel approaches in conducting economic evaluations alongside randomised controlled trials (RCTs). They focus on selective elements regarding the design, conduct, analysis, and reporting of trial-based economic evaluations, including methods for resource use estimation, choice of outcome measure, handling missing data, accounting for patient non-adherence, analysis of multinational trial data, calculating minimally important differences using discrete choice experiments, and methods for extrapolation of outcomes and costs over time. They emphasize embedding economists within trial management groups and using advanced statistical and modelling techniques such as multiple imputation for missing data, structural mean modelling for non-adherence, and multi-level modelling for multinational trials. Using the following development approach: The authors conducted a purposive review of the literature focusing on selective elements regarding the design, conduct, analysis, and reporting of trial-based economic evaluations, introducing novel methodologies that may complement or supplant current approaches. to address the following objective: The objective proposed by the authors is to focus on specific aspects of trial-based economic evaluations where there is scope for improvement, and to introduce novel methodologies that may complement or supplant current approaches, thereby serving the evidential needs of decision makers.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Patient-centered valuation,Value & Decision-Making Frameworks,1,2,3,1,3,2,High,0.378480936
EUPATI Guidance for Patient Involvement in Medicines Research and Development: Health Technology Assessment,"Hunter, A.",2018,"The authors propose a guidance framework developed by EUPATI for patient involvement in Health Technology Assessment (HTA), which includes overarching principles, suggested working practices for HTA bodies, and specific patient involvement activities for individual HTA processes. The framework emphasizes values such as relevance, fairness, equity, legitimacy, and capacity building, and recommends step-wise implementation, training, compensation, clear communication, and systematic incorporation of patient input throughout the HTA lifecycle.","The guidance document was developed using existing literature, extensive internal and external consultation, and draws on outcomes of published research, consensus-building exercises, and good practice examples from HTA agencies. It is based on values identified by the HTAi in an international consensus-building exercise involving patient organizations, academia, HTA agencies, and industry, with input from 150 respondents in 39 countries.","The objective of the EUPATI guidance on patient involvement in HTA is to promote good practice and improve patient involvement in HTA processes by providing recommendations for activities to support patient involvement in HTA bodies and specific guidance for individual HTA processes, aiming to enhance transparency, trust, mutual respect, and the quality of evidence and opinion available in HTA.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a guidance framework developed by EUPATI for patient involvement in Health Technology Assessment (HTA), which includes overarching principles, suggested working practices for HTA bodies, and specific patient involvement activities for individual HTA processes. The framework emphasizes values such as relevance, fairness, equity, legitimacy, and capacity building, and recommends step-wise implementation, training, compensation, clear communication, and systematic incorporation of patient input throughout the HTA lifecycle. Using the following development approach: The guidance document was developed using existing literature, extensive internal and external consultation, and draws on outcomes of published research, consensus-building exercises, and good practice examples from HTA agencies. It is based on values identified by the HTAi in an international consensus-building exercise involving patient organizations, academia, HTA agencies, and industry, with input from 150 respondents in 39 countries. to address the following objective: The objective of the EUPATI guidance on patient involvement in HTA is to promote good practice and improve patient involvement in HTA processes by providing recommendations for activities to support patient involvement in HTA bodies and specific guidance for individual HTA processes, aiming to enhance transparency, trust, mutual respect, and the quality of evidence and opinion available in HTA.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Patient-centered valuation,Value & Decision-Making Frameworks,1,2,3,1,3,2,High,0.136859853
Consolidated Health Economic Evaluation Reporting Standards 2022 (CHEERS 2022) statement: updated reporting guidance for health economic evaluations,"Husereau, D.",2022,"The authors propose the Consolidated Health Economic Evaluation Reporting Standards 2022 (CHEERS 2022) statement, which is a 28-item checklist and accompanying Explanation and Elaboration report providing updated reporting guidance for health economic evaluations.","The authors revised the CHEERS statement following the ISPOR Good Practices Task Force reports and the EQUATOR network guidance. They conducted an informal review of reporting guidelines, consolidated new and existing checklist items, and involved a task force and patient and public involvement and engagement (PPIE) contributors to review and suggest improvements. A modified Delphi process was used with experts in economic evaluation, journal editing, decision making, health technology assessment, and commercial life sciences to finalize the checklist based on iterative feedback.","The objective of this article is to provide a brief overview of the CHEERS 2022 statement, which consists of a 28-item checklist, and an Explanation and Elaboration report with accompanying user tools and guidance.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the Consolidated Health Economic Evaluation Reporting Standards 2022 (CHEERS 2022) statement, which is a 28-item checklist and accompanying Explanation and Elaboration report providing updated reporting guidance for health economic evaluations. Using the following development approach: The authors revised the CHEERS statement following the ISPOR Good Practices Task Force reports and the EQUATOR network guidance. They conducted an informal review of reporting guidelines, consolidated new and existing checklist items, and involved a task force and patient and public involvement and engagement (PPIE) contributors to review and suggest improvements. A modified Delphi process was used with experts in economic evaluation, journal editing, decision making, health technology assessment, and commercial life sciences to finalize the checklist based on iterative feedback. to address the following objective: The objective of this article is to provide a brief overview of the CHEERS 2022 statement, which consists of a 28-item checklist, and an Explanation and Elaboration report with accompanying user tools and guidance.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Transparency & methodological quality standards,HTA Process Improvements,1,1,2,1,1,1.2,Moderate,0.00219149
Technology assessment framework for precision health applications,"Hussain, M. S.",2021,"The authors propose a health technology assessment (HTA) framework specifically designed for precision health (PH) applications. This framework identifies nine core criteria grouped into four categories: technical, clinical, human factors, and implementation. It uses guiding statements with response options and recommendations (Mandatory, Encouraged, Optional) as metrics against each criterion to assess the suitability and impact of technologies for PH innovations.","The authors conducted a scoping literature review through PubMed and Google Scholar to identify relevant articles, shortlisted 12 articles with specific metrics or frameworks applicable to precision health, extracted key metrics from these, iteratively revised the framework among authors, applied it to assess three different precision health innovations, and incorporated feedback from two independent researchers to finalize the framework.","The objective of the proposed framework is to facilitate and standardize the assessment of innovations deemed suitable for precision health (PH) applications, supporting health services, health technology innovators, and researchers in leveraging current and emerging technologies for PH innovations.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a health technology assessment (HTA) framework specifically designed for precision health (PH) applications. This framework identifies nine core criteria grouped into four categories: technical, clinical, human factors, and implementation. It uses guiding statements with response options and recommendations (Mandatory, Encouraged, Optional) as metrics against each criterion to assess the suitability and impact of technologies for PH innovations. Using the following development approach: The authors conducted a scoping literature review through PubMed and Google Scholar to identify relevant articles, shortlisted 12 articles with specific metrics or frameworks applicable to precision health, extracted key metrics from these, iteratively revised the framework among authors, applied it to assess three different precision health innovations, and incorporated feedback from two independent researchers to finalize the framework. to address the following objective: The objective of the proposed framework is to facilitate and standardize the assessment of innovations deemed suitable for precision health (PH) applications, supporting health services, health technology innovators, and researchers in leveraging current and emerging technologies for PH innovations.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Evidence gap identification,Evidence Integration & Generation,2,2,2,2,2,2,High,0.19331142
The Full Value of Vaccine Assessments (FVVA): a framework for assessing and communicating the value of vaccines for investment and introduction decision-making,"Hutubessy, R.",2023,"The authors propose the Full Value of Vaccines Assessments (FVVA) framework, which guides the assessment and communication of the value of vaccines to facilitate alignment among key stakeholders and enhance decision-making around investment, policy-making, procurement, and introduction, especially for vaccines intended for use in low- and middle-income countries.","The authors developed the Full Value of Vaccines Assessments (FVVA) framework by building on publications and events over the last decade, integrating consequentialist and proceduralist ethical views, adapting existing value-assessment methods to include broader benefits and opportunity costs, and emphasizing a deliberative decision-making process to ensure stakeholder agency and country ownership.","The objective of the Full Value of Vaccines Assessments (FVVA) framework is to guide the assessment and communication of the value of vaccines, facilitate alignment among key stakeholders, promote country ownership of decision-making and priority setting, and address obstacles hindering vaccine development, licensure, introduction, equitable access, and sustainable impact, particularly for vaccines intended for use in low- and middle-income countries.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the Full Value of Vaccines Assessments (FVVA) framework, which guides the assessment and communication of the value of vaccines to facilitate alignment among key stakeholders and enhance decision-making around investment, policy-making, procurement, and introduction, especially for vaccines intended for use in low- and middle-income countries. Using the following development approach: The authors developed the Full Value of Vaccines Assessments (FVVA) framework by building on publications and events over the last decade, integrating consequentialist and proceduralist ethical views, adapting existing value-assessment methods to include broader benefits and opportunity costs, and emphasizing a deliberative decision-making process to ensure stakeholder agency and country ownership. to address the following objective: The objective of the Full Value of Vaccines Assessments (FVVA) framework is to guide the assessment and communication of the value of vaccines, facilitate alignment among key stakeholders, promote country ownership of decision-making and priority setting, and address obstacles hindering vaccine development, licensure, introduction, equitable access, and sustainable impact, particularly for vaccines intended for use in low- and middle-income countries.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",Stakeholder collaboration frameworks,HTA Process Improvements,2,3,3,2,3,2.6,High,0.683740214
Proposal for capturing patient experience through extended value frameworks of health technologies,"Inotai, A.",2021,"The authors propose a framework consisting of five potential patient experience (PEx) domains to capture PEx-related value in health technology assessment (HTA). These domains are: (1) responsiveness to patient's individual needs, (2) improved health literacy and empowerment, (3) patient and caregiver reported outcomes, (4) household's financial burden, and (5) improved access for vulnerable patient populations. The framework is designed to be flexibly implemented either as an extension of existing value frameworks or to create new patient experience-focused value frameworks. The domains were developed through a systematic literature review, iterative expert focus groups including patient representatives, and validated by an international panel of payer experts.","The authors conducted a systematic literature review (SLR) on existing value frameworks (VFs) and multicriteria decision analyses (MCDAs) to capture how patient experience (PEx) is currently considered. Guided by the SLR results, a multidisciplinary core research team including HTA experts and patient representatives used an iterative, multi-round deliberative process to develop potential PEx domains with definitions and proposed measurements. Subsequently, an international panel of payer experts challenged the proposed domains and provided recommendations for implementation, leading to refinement of the domains.","The objective of the authors' proposed method/framework is to develop a proposal for including patient experience (PEx) in the health technology assessment (HTA) frameworks of health technologies, aiming to reduce heterogeneity and standardize the inclusion of PEx in extended HTA value frameworks.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a framework consisting of five potential patient experience (PEx) domains to capture PEx-related value in health technology assessment (HTA). These domains are: (1) responsiveness to patient's individual needs, (2) improved health literacy and empowerment, (3) patient and caregiver reported outcomes, (4) household's financial burden, and (5) improved access for vulnerable patient populations. The framework is designed to be flexibly implemented either as an extension of existing value frameworks or to create new patient experience-focused value frameworks. The domains were developed through a systematic literature review, iterative expert focus groups including patient representatives, and validated by an international panel of payer experts. Using the following development approach: The authors conducted a systematic literature review (SLR) on existing value frameworks (VFs) and multicriteria decision analyses (MCDAs) to capture how patient experience (PEx) is currently considered. Guided by the SLR results, a multidisciplinary core research team including HTA experts and patient representatives used an iterative, multi-round deliberative process to develop potential PEx domains with definitions and proposed measurements. Subsequently, an international panel of payer experts challenged the proposed domains and provided recommendations for implementation, leading to refinement of the domains. to address the following objective: The objective of the authors' proposed method/framework is to develop a proposal for including patient experience (PEx) in the health technology assessment (HTA) frameworks of health technologies, aiming to reduce heterogeneity and standardize the inclusion of PEx in extended HTA value frameworks.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",MCDA / structured multi-criteria frameworks,Value & Decision-Making Frameworks,2,2,3,2,3,2.4,High,0.18295865
Multi-Criteria Decision Analysis: An emerging alternative for assessing the value of orphan medicinal products,"Irwin, J.",2015,"The authors propose a multi-criteria decision analysis (MCDA) system for the inclusion of rare disease drugs in medical insurance, comprising four primary attributes and 16 secondary attributes, developed through expert surveys and pairwise comparison weighting.","The authors applied a four-phase methodology involving: 1) selection and definition of attributes through systematic literature review and policy analysis, 2) pilot survey and revision of attributes via expert feedback, 3) expert panel identification and weighting of attributes using pairwise comparison method and expert scoring, and 4) a deliberative process with expert panel discussion and bootstrap method for robustness testing.","The objective was to explore and construct a multi-criteria attributes system for evaluating the inclusion of rare disease drugs in China’s health insurance system from the perspective of multi-stakeholder strategies, guided by the MCDA method.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a multi-criteria decision analysis (MCDA) system for the inclusion of rare disease drugs in medical insurance, comprising four primary attributes and 16 secondary attributes, developed through expert surveys and pairwise comparison weighting. Using the following development approach: The authors applied a four-phase methodology involving: 1) selection and definition of attributes through systematic literature review and policy analysis, 2) pilot survey and revision of attributes via expert feedback, 3) expert panel identification and weighting of attributes using pairwise comparison method and expert scoring, and 4) a deliberative process with expert panel discussion and bootstrap method for robustness testing. to address the following objective: The objective was to explore and construct a multi-criteria attributes system for evaluating the inclusion of rare disease drugs in China’s health insurance system from the perspective of multi-stakeholder strategies, guided by the MCDA method.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",Stakeholder collaboration frameworks,HTA Process Improvements,2,3,3,2,3,2.6,High,0.632464139
An approach to quantify parameter uncertainty in early assessment of novel health technologies,"Iskandar, R.",2022,"The authors propose the probability bound analysis (PBA) method, which quantifies parameter uncertainty without requiring a precise specification of a probability distribution by using probability boxes (p-boxes) to represent uncertainty bounds on cumulative distribution functions.","The authors developed the probability bound analysis (PBA) methodology by introducing the concept of a probability box (p-box) to represent parameter uncertainty without requiring precise probability distributions. They derived formulas for p-boxes based on minimal data such as summary statistics (mean, median, standard deviation, minimum, maximum). They described an approach to propagate p-boxes into health economic models using optimization to find minimum and maximum model outcomes over parameter intervals, and provided step-by-step guidance for implementation. The methodology was demonstrated through a case study of a hypothetical total artificial heart model.","The objective of the proposed method, probability bound analysis (PBA), is to quantify parameter uncertainty in early-stage health economic modeling without requiring a precise specification of a probability distribution, especially in contexts with limited or minimal data.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the probability bound analysis (PBA) method, which quantifies parameter uncertainty without requiring a precise specification of a probability distribution by using probability boxes (p-boxes) to represent uncertainty bounds on cumulative distribution functions. Using the following development approach: The authors developed the probability bound analysis (PBA) methodology by introducing the concept of a probability box (p-box) to represent parameter uncertainty without requiring precise probability distributions. They derived formulas for p-boxes based on minimal data such as summary statistics (mean, median, standard deviation, minimum, maximum). They described an approach to propagate p-boxes into health economic models using optimization to find minimum and maximum model outcomes over parameter intervals, and provided step-by-step guidance for implementation. The methodology was demonstrated through a case study of a hypothetical total artificial heart model. to address the following objective: The objective of the proposed method, probability bound analysis (PBA), is to quantify parameter uncertainty in early-stage health economic modeling without requiring a precise specification of a probability distribution, especially in contexts with limited or minimal data.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Uncertainty & limited evidence methods,Evidence Integration & Generation,3,2,1,2,1,1.8,Moderate,0.088895198
Multi-Criteria Decision Analysis for Assessment and Appraisal of Orphan Drugs,"Iskrov, G.",2016,"The authors propose a multi-criteria decision analysis (MCDA) value measurement model using a simple linear additive approach to assess and appraise orphan drugs, combining weighted performance scores for relevant criteria from a societal perspective.","The authors applied a simple MCDA linear additive model methodology to develop the value measurement model. This involved defining and structuring the problem, identifying a set of decision criteria, eliciting decision criteria's weights and performance scores through a stakeholder-representative survey, and piloting the model in a focus group discussion.",The objective of this study was to create an MCDA value measurement model to assess and appraise orphan drugs by exploring the preferences on decision criteria’s weights and performance scores through a stakeholder-representative survey and a focus group discussion organized in Bulgaria.,"This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a multi-criteria decision analysis (MCDA) value measurement model using a simple linear additive approach to assess and appraise orphan drugs, combining weighted performance scores for relevant criteria from a societal perspective. Using the following development approach: The authors applied a simple MCDA linear additive model methodology to develop the value measurement model. This involved defining and structuring the problem, identifying a set of decision criteria, eliciting decision criteria's weights and performance scores through a stakeholder-representative survey, and piloting the model in a focus group discussion. to address the following objective: The objective of this study was to create an MCDA value measurement model to assess and appraise orphan drugs by exploring the preferences on decision criteria’s weights and performance scores through a stakeholder-representative survey and a focus group discussion organized in Bulgaria.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",MCDA / structured multi-criteria frameworks,Value & Decision-Making Frameworks,2,2,3,2,3,2.4,High,0.876116847
AI for IMPACTS Framework for Evaluating the Long-Term Real-World Impacts of AI-Powered Clinician Tools: Systematic Review and Narrative Synthesis,"Jacob, C.",2025,"The authors propose the AI for IMPACTS framework, which is organized into seven key clusters: (1) Integration, interoperability, and workflow; (2) Monitoring, governance, and accountability; (3) Performance and quality metrics; (4) Acceptability, trust, and training; (5) Cost and economic evaluation; (6) Technological safety and transparency; and (7) Scalability and impact. This framework integrates technical, social, and organizational dimensions to evaluate the long-term real-world impact of AI-powered clinician tools in health care.","The authors conducted a systematic review following PRISMA guidelines and the Cochrane Handbook for Systematic Reviews of Interventions. They searched multiple databases for studies published between January 2019 and mid-July 2024, screened and selected 44 studies, and performed thematic analysis and narrative synthesis using NVivo software. The analysis was guided by sociotechnical theory, focusing on social, organizational, and technical criteria. The criteria were organized into clusters and subcriteria to develop the AI for IMPACTS framework.","The objective of the AI for IMPACTS framework is to create a comprehensive framework for assessing AI in health care that extends beyond technical metrics to incorporate social and organizational dimensions, focusing on the long-term real-world impact of AI in clinical practice.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the AI for IMPACTS framework, which is organized into seven key clusters: (1) Integration, interoperability, and workflow; (2) Monitoring, governance, and accountability; (3) Performance and quality metrics; (4) Acceptability, trust, and training; (5) Cost and economic evaluation; (6) Technological safety and transparency; and (7) Scalability and impact. This framework integrates technical, social, and organizational dimensions to evaluate the long-term real-world impact of AI-powered clinician tools in health care. Using the following development approach: The authors conducted a systematic review following PRISMA guidelines and the Cochrane Handbook for Systematic Reviews of Interventions. They searched multiple databases for studies published between January 2019 and mid-July 2024, screened and selected 44 studies, and performed thematic analysis and narrative synthesis using NVivo software. The analysis was guided by sociotechnical theory, focusing on social, organizational, and technical criteria. The criteria were organized into clusters and subcriteria to develop the AI for IMPACTS framework. to address the following objective: The objective of the AI for IMPACTS framework is to create a comprehensive framework for assessing AI in health care that extends beyond technical metrics to incorporate social and organizational dimensions, focusing on the long-term real-world impact of AI in clinical practice.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",RWE integration & infrastructure,Evidence Integration & Generation,2,1,1,2,1,1.4,Moderate,0.381527784
National Immunization Program Decision Making Using the CAPACITI Decision-Support Tool: User Feedback from Indonesia and Ethiopia,"Jansen, M.",2024,"The authors propose the Country-led Assessment for Prioritization on Immunization (CAPACITI) decision-support tool, which is based on Health Technology Assessment (HTA) and multi-criteria decision analysis (MCDA) principles, structured into five steps: decision question, criteria for decision making, evidence assessment, appraisal, and recommendation.","The CAPACITI decision-support tool and its underlying methodology were developed through an iterative approach from 2018 to 2020, in consultation with 13 countries across WHO regions, technical agencies, and advisory committees to WHO. The tool is based on best practices in Health Technology Assessment (HTA) and multi-criteria decision analysis (MCDA) while ensuring practicality.","The objective of the CAPACITI decision-support tool is to structure deliberation among relevant stakeholders from across the health system and document an evidence-based, context-specific, and transparent process for prioritizing or selecting multiple vaccination products, services, or strategies.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the Country-led Assessment for Prioritization on Immunization (CAPACITI) decision-support tool, which is based on Health Technology Assessment (HTA) and multi-criteria decision analysis (MCDA) principles, structured into five steps: decision question, criteria for decision making, evidence assessment, appraisal, and recommendation. Using the following development approach: The CAPACITI decision-support tool and its underlying methodology were developed through an iterative approach from 2018 to 2020, in consultation with 13 countries across WHO regions, technical agencies, and advisory committees to WHO. The tool is based on best practices in Health Technology Assessment (HTA) and multi-criteria decision analysis (MCDA) while ensuring practicality. to address the following objective: The objective of the CAPACITI decision-support tool is to structure deliberation among relevant stakeholders from across the health system and document an evidence-based, context-specific, and transparent process for prioritizing or selecting multiple vaccination products, services, or strategies.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",MCDA / structured multi-criteria frameworks,Value & Decision-Making Frameworks,2,2,3,2,3,2.4,High,0.565331035
